Date,LogAdjReturn,Jump
2021-01-04,,0
2021-01-05,0.012287663770385688,0
2021-01-06,-0.0342410978061198,0
2021-01-07,0.033553741057998694,0
2021-01-08,0.008594434828442304,0
2021-01-11,-0.023523336545317332,0
2021-01-12,-0.0013965416162244678,0
2021-01-13,0.016096498230709057,0
2021-01-14,-0.01524262554047643,0
2021-01-15,-0.013825587397397199,0
2021-01-19,0.005412287311012675,0
2021-01-20,0.032328027001875065,0
2021-01-21,0.03600210514249225,0
2021-01-22,0.015946053362014902,0
2021-01-25,0.027307478658322594,0
2021-01-26,0.0016780368647185148,0
2021-01-27,-0.007713543152780526,0
2021-01-28,-0.03561191777027125,0
2021-01-29,-0.038138520290392504,0
2021-02-01,0.016385012065755794,0
2021-02-02,0.00631668130655752,0
2021-02-03,-0.0078088789967131296,0
2021-02-04,0.02543175598468064,0
2021-02-05,-0.003103037022304121,0
2021-02-08,0.0010965644916044227,0
2021-02-09,-0.006595429580431818,0
2021-02-10,-0.004569125374411748,0
2021-02-11,-0.0019220208410866094,0
2021-02-12,0.0017746946751682443,0
2021-02-16,-0.016235353770291984,0
2021-02-17,-0.017801700011083617,0
2021-02-18,-0.008673545952338456,0
2021-02-19,0.0012326206641849473,0
2021-02-22,-0.030252017657431685,0
2021-02-23,-0.001111835161102874,0
2021-02-24,-0.004060257717765808,0
2021-02-25,-0.035401867557074376,0
2021-02-26,0.002228970774119044,0
2021-03-01,0.05245142534376382,0
2021-03-02,-0.021115140615148707,0
2021-03-03,-0.024760790472703298,0
2021-03-04,-0.0159380180540172,0
2021-03-05,0.010681111895294144,0
2021-03-08,-0.042566756386748256,0
2021-03-09,0.03984529299050689,0
2021-03-10,-0.009209023591947562,0
2021-03-11,0.016368121162456527,0
2021-03-12,-0.007654776197195888,0
2021-03-15,0.024162529624175366,0
2021-03-16,0.012662440483973327,0
2021-03-17,-0.006471533180455333,0
2021-03-18,-0.03449326468106013,0
2021-03-19,-0.004490207331111474,0
2021-03-22,0.027941732775885075,0
2021-03-23,-0.006912484627263605,0
2021-03-24,-0.020196205703077473,0
2021-03-25,0.004154769759485413,0
2021-03-26,0.005128328991815945,0
2021-03-29,0.0014840295428451137,0
2021-03-30,-0.012350470171953832,0
2021-03-31,0.018591729431687302,0
2021-04-01,0.0069344791827268114,0
2021-04-05,0.023303716289685063,0
2021-04-06,0.002459051223624958,0
2021-04-07,0.013301649239159125,0
2021-04-08,0.019050964467981303,0
2021-04-09,0.020049489967474153,0
2021-04-12,-0.013321562974616175,0
2021-04-13,0.02401602755826027,0
2021-04-14,-0.01801451299705498,0
2021-04-15,0.018535115304550803,0
2021-04-16,-0.002530982852885735,0
2021-04-19,0.005055576000402307,0
2021-04-20,-0.01291303540193458,0
2021-04-21,0.0029258406559736516,0
2021-04-22,-0.011754250598292309,0
2021-04-23,0.017877629181564967,0
2021-04-26,0.0029736063599611544,0
2021-04-27,-0.002452694032046782,0
2021-04-28,-0.0060453460117081146,0
2021-04-29,-0.000748941963000376,0
2021-04-30,-0.015249202354382135,0
2021-05-03,0.008181971231573255,0
2021-05-04,-0.03602666161609417,0
2021-05-05,0.0019535064740894407,0
2021-05-06,0.012721277751006524,0
2021-05-07,0.005313102971663464,0
2021-05-10,-0.02614326662380938,0
2021-05-11,-0.007437835421126438,0
2021-05-12,-0.025254782312967183,0
2021-05-13,0.017761210680446365,0
2021-05-14,0.019650329926175117,0
2021-05-17,-0.00930171693706741,0
2021-05-18,-0.011309345518987934,0
2021-05-19,-0.0012822891358513226,0
2021-05-20,0.020794261728082887,0
2021-05-21,-0.014877114394147175,0
2021-05-24,0.013226149938371528,0
2021-05-25,-0.0015746248741395814,0
2021-05-26,-0.0003942436787888295,0
2021-05-27,-0.012454105082466733,0
2021-05-28,-0.0053623355873767195,0
2021-06-01,-0.00265171601238137,0
2021-06-02,0.006256522355659503,0
2021-06-03,-0.012228587395629481,0
2021-06-04,0.018843492351237535,0
2021-06-07,7.945013082636418e-05,0
2021-06-08,0.00664977702842341,0
2021-06-09,0.003072372252884234,0
2021-06-10,-0.008055647579789191,0
2021-06-11,0.009784645817055966,0
2021-06-14,0.024280778539655077,0
2021-06-15,-0.006458435118431397,0
2021-06-16,0.003925985254121453,0
2021-06-17,0.012522232789611723,0
2021-06-18,-0.010142932004996132,0
2021-06-21,0.014005405981553335,0
2021-06-22,0.012618530829691922,0
2021-06-23,-0.0020920814373551924,0
2021-06-24,-0.002171497738476256,0
2021-06-25,-0.002251305694939847,0
2021-06-28,0.012467842490010907,0
2021-06-29,0.011434725941894338,0
2021-06-30,0.0046106199460347365,0
2021-07-01,0.0022604474251275014,0
2021-07-02,0.019407382351829667,0
2021-07-06,0.014611044145768973,0
2021-07-07,0.01779596292715957,0
2021-07-08,-0.009242465024353993,0
2021-07-09,0.012970637725929261,0
2021-07-12,-0.004212437634049952,0
2021-07-13,0.007858460970570755,0
2021-07-14,0.023814573365670957,0
2021-07-15,-0.004502315364302224,0
2021-07-16,-0.014176010552468183,0
2021-07-19,-0.027283123402890727,0
2021-07-20,0.025642145193504627,0
2021-07-21,-0.005144811810673878,0
2021-07-22,0.009582692066123562,0
2021-07-23,0.011917779415396264,0
2021-07-26,0.002890172847571331,0
2021-07-27,-0.015012434460318176,0
2021-07-28,-0.012270908374936735,0
2021-07-29,0.004542241077323162,0
2021-07-30,0.0015092575923946914,0
2021-08-02,-0.00233384947606598,0
2021-08-03,0.012565147539155592,0
2021-08-04,-0.002786152424519913,0
2021-08-05,0.0007482924459535804,0
2021-08-06,-0.004778640936862096,0
2021-08-09,-0.0003420318129319926,0
2021-08-10,-0.003359828091879442,0
2021-08-11,0.0017843327921198977,0
2021-08-12,0.02056056856399004,0
2021-08-13,0.001409392987529152,0
2021-08-16,0.013456552114995714,0
2021-08-17,-0.006172785747012037,0
2021-08-18,-0.025831691707141932,0
2021-08-19,0.002320504667062828,0
2021-08-20,0.010105232798986152,0
2021-08-23,0.01020507304982294,0
2021-08-24,-0.0006014701142399359,0
2021-08-25,-0.00845711033514935,0
2021-08-26,-0.005542500709739322,0
2021-08-27,0.007158837859458757,0
2021-08-30,0.029963951700349427,0
2021-08-31,-0.008460472735678182,0
2021-09-01,0.004468490916960089,0
2021-09-02,0.007447205060491481,0
2021-09-03,0.004221666911895554,0
2021-09-07,0.01537049468626107,0
2021-09-08,-0.010135012882185377,0
2021-09-09,-0.006727388601519697,0
2021-09-10,-0.033661958427831554,0
2021-09-13,0.0038859560059043047,0
2021-09-14,-0.009608118600393505,0
2021-09-15,0.006124862633649893,0
2021-09-16,-0.0016119833484839533,0
2021-09-17,-0.018518289887397094,0
2021-09-20,-0.021592504511989106,0
2021-09-21,0.0034220278378888744,0
2021-09-22,0.016732048271248495,0
2021-09-23,0.00669641263048525,0
2021-09-24,0.000612895544560778,0
2021-09-27,-0.010606128311607161,0
2021-09-28,-0.02408896810069895,0
2021-09-29,0.006461905212479131,0
2021-09-30,-0.009355499726463778,0
2021-10-01,0.008094526098992931,0
2021-10-04,-0.024913643041100875,0
2021-10-05,0.014059352286843923,0
2021-10-06,0.006287496854306081,0
2021-10-07,0.009043291688442048,0
2021-10-08,-0.002725568567610543,0
2021-10-11,-0.0006299247132237907,0
2021-10-12,-0.009144785652905666,0
2021-10-13,-0.004248829757072927,0
